anio_mes,termino,frecuencia
2023-01,personas,18142
2023-01,gobierno,16906
2023-01,quien,16434
2023-01,pais,16299
2023-01,uno,15800
2023-01,nacional,15568
2023-01,eso,15518
2023-01,presidente,15025
2023-01,esto,14742
2023-01,estado,12718
2023-01,enero,12606
2023-01,tanto,11925
2023-01,estan,11350
2023-01,momento,10615
2023-01,pasado,10470
2023-01,millones,10364
2023-01,vida,10354
2023-01,tiempo,10304
2023-01,ahora,10272
2023-01,cuenta,10190
2023-02,personas,16409
2023-02,pais,14387
2023-02,quien,13670
2023-02,incendios,13447
2023-02,uno,13301
2023-02,esto,12699
2023-02,nacional,12471
2023-02,eso,12231
2023-02,vina,11572
2023-02,region,10947
2023-02,gobierno,10774
2023-02,momento,10547
2023-02,festival,10483
2023-02,estado,10478
2023-02,febrero,10356
2023-02,estan,10219
2023-02,tanto,9700
2023-02,millones,8914
2023-02,publico,8903
2023-02,tiempo,8721
2023-03,personas,17424
2023-03,quien,16680
2023-03,gobierno,16418
2023-03,uno,15759
2023-03,pais,15471
2023-03,esto,15353
2023-03,eso,14841
2023-03,nacional,14275
2023-03,presidente,13495
2023-03,marzo,12640
2023-03,estado,12457
2023-03,tanto,11018
2023-03,momento,10997
2023-03,vida,10841
2023-03,estan,10668
2023-03,trabajo,10635
2023-03,millones,10360
2023-03,horas,10308
2023-03,tiempo,10171
2023-03,mujeres,10016
2023-04,personas,15835
2023-04,pais,14379
2023-04,esto,14138
2023-04,quien,14031
2023-04,nacional,13230
2023-04,uno,13157
2023-04,eso,12722
2023-04,estado,12441
2023-04,gobierno,12373
2023-04,carabineros,10632
2023-04,horas,10301
2023-04,seguridad,10141
2023-04,estan,9782
2023-04,presidente,9771
2023-04,tanto,9731
2023-04,abril,9446
2023-04,vida,9422
2023-04,trabajo,9414
2023-04,momento,9230
2023-04,millones,9056
2023-05,personas,17629
2023-05,quien,15146
2023-05,pais,15036
2023-05,esto,14678
2023-05,uno,13974
2023-05,gobierno,13934
2023-05,eso,13892
2023-05,nacional,13488
2023-05,estado,12956
2023-05,mayo,12054
2023-05,partido,11914
2023-05,tanto,10913
2023-05,vida,10744
2023-05,millones,10640
2023-05,presidente,10461
2023-05,momento,10460
2023-05,estan,10314
2023-05,region,9799
2023-05,cuenta,9730
2023-05,trabajo,9625
2023-06,personas,16131
2023-06,pais,14840
2023-06,quien,14798
2023-06,esto,14048
2023-06,uno,13458
2023-06,presidente,13210
2023-06,estado,12934
2023-06,eso,12893
2023-06,nacional,12248
2023-06,gobierno,11584
2023-06,cuenta,10588
2023-06,region,10529
2023-06,estan,10173
2023-06,junio,10110
2023-06,tanto,10006
2023-06,salud,9949
2023-06,momento,9712
2023-06,caso,9711
2023-06,vida,9601
2023-06,horas,9302
2023-07,quien,13112
2023-07,estado,12033
2023-07,esto,11990
2023-07,personas,11787
2023-07,gobierno,11599
2023-07,pais,11470
2023-07,uno,11420
2023-07,eso,10956
2023-07,nacional,10625
2023-07,caso,9296
2023-07,presidente,9001
2023-07,julio,8969
2023-07,millones,8952
2023-07,tanto,8897
2023-07,momento,8414
2023-07,estan,7965
2023-07,vida,7838
2023-07,region,7641
2023-07,acuerdo,7547
2023-07,tiempo,7491
2023-08,quien,13743
2023-08,pais,12972
2023-08,gobierno,12949
2023-08,personas,12850
2023-08,esto,12802
2023-08,estado,12790
2023-08,nacional,12314
2023-08,uno,11401
2023-08,eso,11286
2023-08,presidente,10976
2023-08,agosto,10351
2023-08,caso,9888
2023-08,millones,9323
2023-08,tanto,9238
2023-08,region,8758
2023-08,momento,8717
2023-08,estan,8335
2023-08,tiempo,8331
2023-08,ahora,8005
2023-08,vida,7968
2023-09,estado,13896
2023-09,septiembre,12633
2023-09,quien,12596
2023-09,personas,12524
2023-09,pais,12130
2023-09,nacional,11632
2023-09,esto,11250
2023-09,uno,10617
2023-09,eso,10208
2023-09,gobierno,10123
2023-09,presidente,9960
2023-09,tanto,8534
2023-09,vida,8339
2023-09,momento,7947
2023-09,estan,7873
2023-09,lugar,7847
2023-09,caso,7703
2023-09,tiempo,7620
2023-09,region,7417
2023-09,horas,7390
2023-10,personas,16316
2023-10,quien,15955
2023-10,pais,15775
2023-10,octubre,15683
2023-10,santiago,14674
2023-10,nacional,14526
2023-10,esto,14317
2023-10,uno,13853
2023-10,eso,13036
2023-10,israel,12688
2023-10,estado,12298
2023-10,gobierno,11479
2023-10,estan,10768
2023-10,tanto,10721
2023-10,tiempo,10576
2023-10,horas,10499
2023-10,momento,10449
2023-10,presidente,10440
2023-10,lugar,10109
2023-10,sera,9675
2023-11,quien,16824
2023-11,pais,15970
2023-11,personas,15759
2023-11,nacional,15517
2023-11,esto,14862
2023-11,noviembre,14225
2023-11,eso,13631
2023-11,uno,13617
2023-11,santiago,12642
2023-11,presidente,12197
