source_sk,fuente,kl_divergencia,total_palabras
28,digital.lasegunda.com,7.278877,1026
27,digital.elmercurio.com,7.130213,15941
97,revo30.org,5.772447,38787
30,ecovisiones.cl,4.224622,914
8,bnamericas.com,3.479932,839
95,radiopolar.com,3.429743,690
20,diarioantofagasta.cl,3.100426,917
83,portaldisc.com,3.09697,11418
22,diarioelcentro.cl,3.061545,1428
9,canal9.cl,3.003458,1501
105,tribunalcalificador.cl,2.916241,9533
60,itseller.cl,2.883406,3523
99,santiagotimes.cl,2.859374,28352
10,caras.cl,2.838417,10506
91,puntoticket.com,2.817734,2824
53,fotech.cl,2.795022,1137
45,eltipografo.cl,2.728787,2266
13,chocale.cl,2.538911,3007
42,elpinguino.com,2.499527,2191
64,lahora.cl,2.25942,2993
59,iquiqueonline.cl,2.133185,2918
7,blog.clay.cl,1.974671,8760
79,montenbaik.com,1.907123,23391
82,pisapapeles.net,1.867367,55623
49,espn.cl,1.744209,10371
21,diarioconcepcion.cl,1.710718,16477
74,madboxpc.com,1.687418,168337
102,tarreo.com,1.66207,33120
100,servel.cl,1.594518,50790
62,kilometrocero.cl,1.590701,9019
85,pousta.com,1.58747,21816
56,hyperconectados.com,1.572189,313282
75,mega.cl,1.505616,12554
36,ellibero.cl,1.413163,9764
52,fmdos.cl,1.374255,12829
11,chilecologico.cl,1.347849,32098
25,diarioestrategia.cl,1.32436,98092
103,terra.cl,1.197485,813215
23,diarioeldia.cl,1.194612,15152
80,ohmygeek.net,1.193176,126936
51,finde.latercera.com,1.149377,3564402
81,pagina7.cl,1.143458,47447
48,encancha.cl,1.1415,29801
24,diarioelheraldo.cl,1.101538,16237
96,redgol.cl,1.01566,109771
84,portalportuario.cl,0.947981,5666181
86,prensafutbol.cl,0.934688,2075159
55,glamorama.latercera.com,0.923582,1200448
73,limalimon.cl,0.893296,2109173
71,latendencia.cl,0.873861,157921
5,america-retail.com,0.827543,8216913
69,lared.cl,0.825217,471962
4,alairelibre.cl,0.707258,1632187
54,futuro.cl,0.697224,4666118
61,itvpatagonia.com,0.648947,270524
89,pudahuel.cl,0.641944,1015241
66,lanalhuenoticias.cl,0.593485,518156
76,meganoticias.cl,0.522195,139126
1,13.cl,0.500244,2453631
90,puentealtoaldia.com,0.481808,676231
35,elinsular.cl,0.479358,1277601
41,elperiscopio.cl,0.459484,1406532
26,diariolongino.cl,0.450155,979755
78,miradiols.cl,0.441088,626019
106,tvn.cl,0.410533,873267
15,ciperchile.cl,0.405824,672171
19,df.cl,0.401751,10690039
92,radio.uchile.cl,0.369332,5403224
43,elrancaguino.cl,0.357086,4683305
94,radionuevomundo.cl,0.338461,1085312
14,chvnoticias.cl,0.328182,2035155
29,duna.cl,0.310501,1263724
40,elobservatodo.cl,0.307704,2251130
18,cronicadigital.cl,0.294809,2533630
44,elrancahuaso.cl,0.273753,921795
12,chilevision.cl,0.2729,3368022
31,elamaule.cl,0.271134,913416
88,publimetro.cl,0.270343,4158786
46,elvacanudo.cl,0.266523,814514
77,mercuriovalpo.cl,0.266169,793333
63,lacuarta.com,0.265463,11781082
37,elmorrocotudo.cl,0.259018,1328873
32,elciudadano.com,0.258023,10771599
39,elnortero.cl,0.254645,912421
67,laopinon.cl,0.243502,848935
68,laprensaaustral.cl,0.209971,6104825
58,infogate.cl,0.19665,3833474
16,cnnchile.com,0.148628,2955158
104,theclinic.cl,0.148398,3285884
33,eldesconcierto.cl,0.140562,4622483
38,elmostrador.cl,0.132025,9363257
93,radioagricultura.cl,0.115809,6881630
65,lanacion.cl,0.114503,4458915
34,eldinamo.cl,0.105615,3932543
47,emol.com,0.099206,4756039
3,adnradio.cl,0.095442,14667493
2,24horas.cl,0.087629,10311459
101,t13.cl,0.086705,12348398
17,cooperativa.cl,0.086637,12790719
72,latercera.com,0.080799,14482617
6,biobiochile.cl,0.069408,33639072
