fecha,volumen,promedio_movil,factor
2023-01-03,1536,706.5,2.17
2023-09-21,1419,762.6,1.86
2025-04-02,1864,1030.9,1.81
2024-09-24,1904,1058.1,1.8
2023-09-20,1365,761.0,1.79
2023-09-22,1388,806.6,1.72
2023-01-04,1681,983.0,1.71
2025-09-23,1906,1155.7,1.65
2025-09-24,1923,1185.4,1.62
2025-04-03,1756,1090.1,1.61
2024-09-25,1695,1092.0,1.55
2025-09-25,1882,1235.6,1.52
2025-01-07,1548,1030.1,1.5
2025-04-04,1700,1133.4,1.5
2023-05-10,1704,1163.0,1.47
2025-09-22,1701,1161.6,1.46
2025-01-08,1562,1076.1,1.45
2025-11-05,2116,1459.7,1.45
2023-09-25,1425,991.0,1.44
2023-09-26,1556,1097.0,1.42
2024-07-02,1846,1301.0,1.42
2024-07-18,1857,1306.7,1.42
2023-04-13,1654,1173.6,1.41
2024-08-21,1712,1218.1,1.41
2025-04-23,1908,1355.0,1.41
2024-10-23,1972,1404.3,1.4
2025-04-07,1732,1233.0,1.4
2024-04-02,1672,1203.9,1.39
2024-04-03,1685,1211.0,1.39
2024-05-23,1744,1252.0,1.39
2024-05-28,1746,1260.1,1.39
2024-11-06,1582,1136.1,1.39
2025-05-07,1869,1348.7,1.39
2023-06-28,1477,1072.3,1.38
2023-11-07,1765,1280.7,1.38
2024-05-07,1747,1266.6,1.38
2024-11-07,1517,1100.4,1.38
2025-12-30,1713,1242.6,1.38
2024-01-08,1619,1182.9,1.37
2024-10-09,1925,1401.4,1.37
2025-08-20,1788,1301.3,1.37
2025-12-10,1948,1420.0,1.37
2024-01-03,1530,1129.1,1.36
2024-01-04,1533,1126.4,1.36
2024-01-09,1802,1324.9,1.36
2024-01-10,1874,1381.7,1.36
2024-05-08,1733,1275.7,1.36
2024-07-19,1807,1330.7,1.36
2024-07-23,1904,1400.0,1.36
2024-08-20,1657,1216.1,1.36
2025-08-21,1797,1318.3,1.36
2023-01-05,1566,1157.5,1.35
2023-02-16,1609,1190.7,1.35
2024-06-26,1634,1213.0,1.35
2024-10-01,1968,1453.6,1.35
2025-04-24,1858,1375.9,1.35
2025-05-06,1811,1342.6,1.35
2023-10-18,1796,1339.7,1.34
2023-12-27,1549,1159.4,1.34
2024-07-22,1847,1379.9,1.34
2024-08-22,1656,1232.7,1.34
2025-05-15,1827,1367.9,1.34
2025-06-26,1609,1199.7,1.34
2023-01-09,1596,1201.0,1.33
2023-04-26,1728,1295.3,1.33
2023-10-16,1604,1208.6,1.33
2023-12-28,1531,1149.0,1.33
2024-12-26,1404,1055.4,1.33
2025-01-03,1365,1023.4,1.33
2025-01-06,1365,1024.3,1.33
2025-07-22,1729,1295.6,1.33
2023-02-15,1566,1183.6,1.32
2023-07-20,1406,1067.6,1.32
2023-11-08,1733,1315.6,1.32
2024-01-11,1882,1430.9,1.32
2024-04-04,1621,1225.9,1.32
2024-07-17,1709,1299.6,1.32
2025-03-19,1693,1278.7,1.32
2025-04-22,1795,1357.9,1.32
2025-05-13,1824,1380.7,1.32
2025-07-23,1736,1312.0,1.32
2023-04-11,1560,1188.1,1.31
2023-05-04,1552,1187.7,1.31
2023-05-15,1479,1126.4,1.31
2023-05-16,1590,1217.7,1.31
2023-10-11,1617,1238.7,1.31
2023-12-13,1656,1263.1,1.31
2024-09-23,1421,1085.1,1.31
2024-10-03,1893,1447.3,1.31
2024-10-17,1953,1491.7,1.31
2025-04-08,1680,1278.7,1.31
2025-04-21,1755,1344.1,1.31
2025-05-28,1845,1406.3,1.31
2025-07-18,1642,1252.7,1.31
2023-04-12,1534,1176.3,1.3
2023-05-11,1539,1182.7,1.3
2023-11-06,1663,1275.6,1.3
2024-01-05,1470,1126.7,1.3
2024-02-06,1796,1379.4,1.3
2024-09-04,1751,1342.3,1.3
2025-07-30,1817,1393.6,1.3
2025-12-29,1637,1255.1,1.3
